sb, pt, cfg, rt, er
6,1,4,0,0
6,1,2,763,0
6,1,3,761,0
6,1,1,521,0
6,1,4,0,0
6,1,2,560,0
6,1,4,0,0
6,1,3,505,0
6,1,4,0,0
6,1,2,689,0
6,1,1,568,0
6,1,2,842,0
6,1,2,571,0
6,1,2,477,0
6,1,3,448,0
6,1,4,0,0
6,1,3,483,0
6,1,1,543,0
6,1,3,450,0
6,1,3,458,0
6,1,3,515,0
6,1,2,422,0
6,1,1,854,0
6,1,2,511,0
6,1,3,541,0
6,1,3,546,0
6,1,4,0,0
6,1,1,531,0
6,1,2,549,0
6,1,3,448,0
6,1,4,0,0
6,1,4,0,0
6,1,3,498,0
6,1,4,0,0
6,1,4,0,0
6,1,2,763,0
6,1,2,486,0
6,1,1,516,0
6,1,1,535,0
6,1,2,451,0
6,1,4,0,0
6,1,4,0,0
6,1,2,494,0
6,1,1,515,0
6,1,1,519,0
6,1,3,512,0
6,1,4,0,0
6,1,3,479,0
6,1,2,537,0
6,1,4,0,0
6,1,2,472,0
6,1,3,535,0
6,1,1,509,0
6,1,3,452,0
6,1,2,438,0
6,1,4,0,0
6,1,4,0,0
6,1,3,547,0
6,1,4,0,0
6,1,1,450,0
6,1,2,513,0
6,1,2,555,0
6,1,2,542,0
6,1,3,438,0
6,1,2,433,0
6,1,3,478,0
6,1,3,498,1
6,1,3,552,0
6,1,2,453,0
6,1,1,433,1
6,1,1,601,0
6,1,3,470,0
6,1,1,554,0
6,1,4,0,0
6,1,1,501,0
6,1,2,539,0
6,1,2,458,0
6,1,4,0,0
6,1,2,541,0
6,1,4,0,0
6,1,3,545,0
6,1,2,566,0
6,1,3,536,0
6,1,1,521,0
6,1,3,676,0
6,1,3,502,0
6,1,3,559,0
6,1,3,444,0
6,1,3,436,0
6,1,4,0,0
6,1,3,533,0
6,1,3,475,0
6,1,3,542,0
6,1,1,453,1
6,1,1,477,0
6,1,3,567,0
6,1,2,550,0
6,1,3,402,0
6,1,2,485,0
6,1,1,443,0
6,1,3,502,0
6,1,1,493,0
6,1,2,459,0
6,1,4,0,0
6,1,2,622,0
6,1,4,0,0
6,1,1,613,0
6,1,1,507,0
6,1,4,0,0
6,1,2,490,0
6,1,3,485,0
6,1,3,413,0
6,1,4,0,0
6,1,4,0,0
6,1,3,464,0
6,1,1,805,0
6,1,2,471,0
6,1,3,630,0
6,1,3,532,0
6,1,3,555,0
6,1,3,534,0
6,1,4,0,0
6,1,1,514,0
6,1,4,0,0
6,1,1,479,0
6,1,2,583,0
6,1,2,566,0
6,1,2,620,0
6,1,1,461,0
6,1,4,0,0
6,1,3,556,0
6,1,1,492,0
6,1,3,471,0
6,1,4,0,0
6,1,4,0,0
6,1,2,514,0
6,1,2,454,0
6,1,2,455,0
6,1,2,430,0
6,1,4,0,0
6,1,4,0,0
6,1,4,0,0
6,1,3,655,0
6,1,3,541,0
6,1,4,0,0
6,1,1,574,0
6,1,1,557,0
6,1,4,0,0
6,1,1,493,0
6,1,1,578,0
6,1,1,603,0
6,1,2,515,0
6,1,4,0,0
6,1,2,498,0
6,1,3,480,0
6,1,3,553,0
6,1,2,467,0
6,1,1,514,0
6,1,2,453,0
6,1,4,0,0
6,1,3,461,0
6,1,1,356,0
6,1,4,0,0
6,1,1,447,0
6,1,2,482,0
6,1,2,532,0
6,1,3,591,0
6,1,3,421,0
6,1,1,644,0
6,1,3,635,0
6,1,3,469,0
6,1,1,506,0
6,1,3,424,0
6,1,4,0,0
6,1,3,667,0
6,1,4,0,0
6,1,2,506,0
6,1,1,544,0
6,1,4,0,0
6,1,1,473,0
6,1,4,0,0
6,1,1,454,0
6,1,3,602,0
6,1,1,525,0
6,1,1,803,0
6,1,3,482,0
6,1,4,0,0
6,1,1,434,0
6,1,3,733,0
6,1,4,0,0
6,1,1,469,0
6,1,2,596,0
6,1,1,455,0
6,1,3,439,0
6,1,2,492,0
6,1,4,0,0
6,1,3,461,0
6,1,3,493,0
6,1,1,492,0
6,1,4,0,0
6,1,4,0,0
6,1,4,0,0
6,1,4,0,0
6,1,1,601,0
6,1,1,476,0
6,1,3,548,0
6,1,3,569,0
6,1,3,617,0
6,1,4,0,0
6,1,3,556,0
6,1,4,0,0
6,1,2,579,0
6,1,2,569,0
6,1,4,0,0
6,1,1,640,0
6,1,3,544,0
6,1,1,743,0
6,1,4,0,0
6,1,2,548,0
6,1,2,854,0
6,1,1,621,0
6,1,3,491,0
6,1,2,478,0
6,1,4,0,0
6,1,4,0,0
6,1,1,689,0
6,1,3,713,0
6,1,2,497,0
6,1,3,550,0
6,1,2,497,0
6,1,2,497,0
6,1,3,502,0
6,1,1,530,0
6,1,4,0,0
6,1,2,511,0
6,1,2,537,0
6,1,2,480,0
6,1,3,579,0
6,1,3,479,0
6,1,4,0,0
6,1,2,608,0
6,1,4,0,0
6,1,1,467,0
6,1,4,0,0
6,1,1,453,0
6,1,1,554,0
6,1,1,621,0
6,1,3,745,0
6,1,4,0,0
6,1,2,516,1
6,1,1,641,0
6,1,3,556,0
6,1,2,545,0
6,1,4,0,0
6,1,1,611,0
6,1,1,670,0
6,1,4,0,0
6,1,1,492,0
6,1,2,509,0
6,1,2,435,0
6,1,4,0,0
6,1,4,0,0
6,1,2,534,0
6,1,2,613,0
6,1,4,0,0
6,1,3,580,0
6,1,1,506,0
6,1,2,495,0
6,1,3,565,0
6,1,3,518,0
6,1,4,0,0
6,1,2,561,0
6,1,2,477,0
6,1,2,410,0
6,1,2,352,0
6,1,3,407,0
6,1,2,536,0
6,1,2,400,0
6,1,4,0,0
6,1,2,575,0
6,1,3,494,0
6,1,1,540,0
6,1,1,509,0
6,1,4,0,0
6,1,2,524,1
6,1,1,666,0
6,1,1,552,0
6,1,4,0,0
6,1,4,0,0
6,1,4,0,0
6,1,4,0,0
6,1,1,546,0
6,1,1,641,0
6,1,2,469,0
6,1,2,432,0
6,1,4,0,0
6,1,2,494,0
6,1,3,443,0
6,1,2,484,0
6,1,4,0,0
6,1,2,590,0
6,1,1,509,0
6,1,4,0,0
6,1,3,658,0
6,1,1,586,0
6,1,4,0,0
6,1,3,575,0
6,1,3,621,0
6,1,3,466,0
6,1,1,550,0
6,1,4,0,0
6,1,4,0,0
6,1,2,561,0
6,1,4,0,0
6,1,1,590,0
6,1,1,546,0
6,1,4,0,0
6,1,2,535,0
6,1,1,456,0
6,1,4,0,0
6,1,3,504,0
6,1,3,515,0
6,1,4,0,0
6,1,1,617,0
6,1,1,494,0
6,1,3,445,0
6,1,3,445,0
6,1,2,448,0
6,1,2,483,1
6,1,1,517,0
6,1,3,519,0
6,1,3,476,0
6,1,1,580,0
6,1,2,523,0
6,1,2,557,0
6,1,3,562,0
6,1,3,439,0
6,1,2,513,0
6,1,2,478,0
6,1,3,569,0
6,1,2,547,0
6,1,4,0,0
6,1,2,558,0
6,1,1,450,0
6,1,4,0,0
6,1,2,579,0
6,1,3,498,0
6,1,2,576,0
6,1,3,663,0
6,1,2,463,0
6,1,2,484,0
6,1,3,477,0
6,1,4,0,0
6,1,2,521,0
6,1,2,508,0
6,1,1,496,0
6,1,1,705,0
6,1,2,539,0
6,1,4,0,0
6,1,2,554,0
6,1,2,582,0
6,1,1,444,0
6,1,4,0,0
6,1,2,539,0
6,1,3,492,0
6,1,1,478,0
6,1,3,401,0
6,1,1,493,0
6,1,4,0,0
6,1,4,0,0
6,1,1,506,0
6,1,3,561,0
6,1,1,518,0
6,1,4,0,0
6,1,1,468,0
6,1,4,0,0
6,1,2,603,0
6,1,4,0,0
6,1,1,562,0
6,1,2,534,0
6,1,2,555,0
6,1,2,503,0
6,1,3,476,0
6,1,3,465,0
6,1,1,511,0
6,1,1,446,0
6,1,4,0,0
6,1,3,521,0
6,1,2,489,0
6,1,1,602,0
6,1,4,0,0
6,1,1,594,0
6,1,4,0,0
6,1,3,557,0
6,1,3,450,0
6,1,3,460,0
6,1,1,509,0
6,1,1,524,0
6,1,1,542,0
6,1,3,461,0
6,1,3,485,0
6,1,1,456,0
6,1,3,409,0
6,1,1,473,0
6,1,1,444,0
6,1,4,0,0
6,1,2,635,0
6,1,1,447,0
6,1,2,470,0
6,1,2,529,0
6,1,2,459,0
6,1,3,466,0
6,1,4,0,0
6,1,4,0,0
6,1,4,0,0
6,1,2,1259,0
6,1,2,519,0
6,1,1,487,0
6,1,2,402,0
6,1,3,439,0
6,1,2,489,0
6,1,1,436,1
6,1,4,0,0
6,1,3,598,0
6,1,1,526,0
6,1,2,513,0
6,1,2,497,0
6,1,4,0,0
6,1,2,588,0
6,1,2,563,0
6,1,1,565,0
6,1,2,556,0
6,1,4,0,0
6,1,2,545,0
6,1,1,408,0
6,1,4,0,0
6,1,4,0,0
6,1,3,525,0
6,1,3,555,0
6,1,4,0,0
6,1,3,504,0
6,1,4,0,0
6,1,1,595,0
6,1,4,0,0
6,1,4,0,0
6,1,1,569,0
6,1,3,504,0
6,1,3,549,0
6,1,4,0,0
6,1,2,539,0
6,1,3,482,0
6,1,4,0,0
6,1,4,0,0
6,1,3,619,0
6,1,4,0,0
6,1,3,487,0
6,1,1,818,0
6,1,2,470,0
6,1,1,473,0
6,1,3,467,0
6,1,3,482,0
6,1,3,445,0
6,1,4,0,0
6,1,1,573,0
6,1,4,0,0
6,1,4,0,0
6,1,3,492,0
6,1,1,509,0
6,1,4,0,0
6,1,2,551,0
6,1,4,0,0
6,1,2,458,0
6,1,4,0,0
6,1,1,521,0
6,1,1,555,0
6,1,2,550,0
6,1,3,597,0
6,1,4,0,0
6,1,3,647,0
6,1,3,494,0
6,1,4,0,0
6,1,2,565,0
6,1,2,451,0
6,1,1,518,0
6,1,4,0,0
6,1,1,440,0
6,1,1,443,0
6,1,1,532,0
6,1,2,562,0
6,1,4,0,0
6,1,2,551,0
6,1,1,499,0
6,1,2,484,0
6,1,3,613,0
6,1,3,543,0
6,1,3,518,0
6,1,3,472,0
6,1,3,451,1
6,1,1,977,0
6,1,1,461,0
6,1,2,468,0
6,1,2,520,0
6,1,2,435,0
6,1,4,0,0
6,1,2,536,0
6,1,1,487,0
6,1,2,422,0
6,1,1,516,1
6,1,3,534,0
6,1,3,427,0
6,1,4,0,0
6,1,1,585,0
6,1,2,460,0
6,1,1,472,0
6,1,1,431,0
6,1,2,468,1
6,1,3,438,0
6,1,4,0,0
6,1,2,508,0
6,1,1,473,0
6,1,2,422,0
6,1,2,518,0
6,1,3,473,0
6,1,1,477,0
6,1,1,416,0
6,1,4,0,0
6,1,1,739,0
6,1,3,495,0
6,1,3,454,0
6,1,1,420,0
6,1,3,419,0
6,1,4,0,0
6,1,1,536,0
6,1,3,521,0
6,1,3,541,0
6,1,2,476,0
6,1,2,728,0
6,1,3,459,0
6,1,4,0,0
6,1,1,514,0
6,1,1,454,0
6,1,2,407,0
6,1,4,0,0
6,1,4,0,0
6,1,3,548,0
6,1,2,490,0
6,1,1,459,0
6,1,2,504,0
6,1,4,0,0
6,1,4,0,0
6,1,1,592,0
6,1,1,555,0
6,1,4,0,0
6,1,4,0,0
6,1,3,544,0
6,1,1,454,0
6,1,1,487,0
6,1,4,0,0
6,1,4,0,0
6,1,4,0,0
6,1,1,564,0
6,1,2,498,0
6,1,3,463,0
6,1,1,494,0
6,1,1,502,0
6,1,4,0,0
6,1,1,519,0
6,1,4,0,0
6,1,4,0,0
6,1,1,468,0
6,1,4,0,0
6,1,4,0,0
6,1,3,741,0
6,1,1,461,0
6,1,4,0,0
6,1,1,546,0
10,2,1,987,0
10,2,3,598,0
10,2,1,654,0
10,2,1,549,0
10,2,4,0,0
10,2,1,591,0
10,2,4,0,0
10,2,3,750,0
10,2,4,0,0
10,2,1,667,0
10,2,3,553,0
10,2,2,634,0
10,2,4,0,0
10,2,3,534,0
10,2,2,637,0
10,2,3,469,0
10,2,1,432,0
10,2,4,0,0
10,2,2,607,0
10,2,4,0,0
10,2,4,0,0
10,2,3,581,0
10,2,2,646,0
10,2,1,508,0
10,2,2,599,0
10,2,4,0,0
10,2,2,588,0
10,2,1,568,0
10,2,1,759,0
10,2,2,473,0
10,2,1,492,0
10,2,2,511,0
10,2,1,493,0
10,2,3,462,0
10,2,2,533,1
10,2,3,666,0
10,2,1,519,0
10,2,1,531,0
10,2,3,724,0
10,2,2,508,0
10,2,2,523,0
10,2,3,494,0
10,2,1,494,0
10,2,4,0,0
10,2,2,647,0
10,2,4,0,0
10,2,4,0,0
10,2,2,622,1
10,2,4,0,0
10,2,3,578,0
10,2,2,554,0
10,2,2,501,0
10,2,2,513,0
10,2,3,626,0
10,2,4,0,0
10,2,2,589,0
10,2,4,0,0
10,2,4,0,0
10,2,1,673,0
10,2,3,590,0
10,2,4,0,0
10,2,2,782,0
10,2,1,533,0
10,2,2,603,0
10,2,1,500,0
10,2,4,0,0
10,2,3,557,0
10,2,3,583,0
10,2,4,0,0
10,2,4,0,0
10,2,1,612,0
10,2,4,0,0
10,2,1,608,0
10,2,1,578,0
10,2,3,523,0
10,2,3,691,0
10,2,3,628,0
10,2,1,498,0
10,2,4,0,0
10,2,4,0,0
10,2,3,667,0
10,2,1,1120,0
10,2,3,540,0
10,2,3,674,0
10,2,2,671,0
10,2,3,509,0
10,2,1,504,0
10,2,4,0,0
10,2,4,0,0
10,2,1,583,0
10,2,3,479,1
10,2,3,589,0
10,2,4,0,0
10,2,2,716,0
10,2,2,544,0
10,2,1,525,0
10,2,3,606,0
10,2,4,0,0
10,2,4,0,0
10,2,1,724,0
10,2,4,0,0
10,2,1,623,0
10,2,1,547,0
10,2,1,770,0
10,2,1,616,0
10,2,3,537,0
10,2,3,561,0
10,2,3,522,0
10,2,4,0,0
10,2,3,605,0
10,2,3,539,0
10,2,2,810,0
10,2,4,0,0
10,2,4,0,0
10,2,1,630,0
10,2,4,0,0
10,2,3,557,0
10,2,4,0,0
10,2,3,578,0
10,2,1,590,0
10,2,3,581,0
10,2,3,571,0
10,2,1,626,0
10,2,3,552,0
10,2,1,613,0
10,2,2,718,0
10,2,1,542,0
10,2,2,626,0
10,2,2,645,0
10,2,4,0,0
10,2,2,614,0
10,2,3,758,0
10,2,1,643,0
10,2,4,0,0
10,2,4,0,0
10,2,3,707,0
10,2,1,638,0
10,2,2,770,0
10,2,2,571,0
10,2,2,539,0
10,2,1,626,0
10,2,1,572,0
10,2,4,0,0
10,2,1,573,0
10,2,1,642,0
10,2,1,586,0
10,2,3,557,0
10,2,1,783,0
10,2,4,0,0
10,2,3,742,0
10,2,3,527,0
10,2,4,0,0
10,2,1,523,0
10,2,1,534,0
10,2,4,0,0
10,2,2,776,0
10,2,4,0,0
10,2,1,591,0
10,2,1,510,0
10,2,4,0,0
10,2,2,552,0
10,2,2,471,0
10,2,1,475,0
10,2,4,0,0
10,2,3,484,1
10,2,2,714,0
10,2,1,717,0
10,2,2,583,0
10,2,1,555,0
10,2,2,580,0
10,2,1,521,0
10,2,4,0,0
10,2,4,0,0
10,2,2,703,0
10,2,3,570,0
10,2,4,0,0
10,2,2,670,0
10,2,1,499,0
10,2,4,0,0
10,2,2,616,0
10,2,1,524,0
10,2,1,467,0
10,2,2,607,0
10,2,3,418,0
10,2,2,547,0
10,2,4,0,0
10,2,4,0,0
10,2,3,551,0
10,2,2,596,0
10,2,1,553,0
10,2,3,539,0
10,2,2,472,0
10,2,1,534,0
10,2,2,565,1
10,2,2,587,0
10,2,2,689,0
10,2,3,656,0
10,2,2,532,0
10,2,2,727,0
10,2,2,461,0
10,2,1,578,0
10,2,3,616,0
10,2,3,583,0
10,2,1,477,0
10,2,4,0,0
10,2,3,630,0
10,2,3,499,0
10,2,2,569,0
10,2,4,0,0
10,2,3,570,0
10,2,3,660,0
10,2,1,531,0
10,2,3,579,0
10,2,3,568,0
10,2,3,513,0
10,2,2,599,0
10,2,2,614,0
10,2,3,451,0
10,2,2,579,0
10,2,3,560,0
10,2,2,548,0
10,2,3,449,0
10,2,4,0,0
10,2,4,0,0
10,2,4,0,0
10,2,4,0,0
10,2,4,0,0
10,2,4,0,0
10,2,3,694,0
10,2,4,0,0
10,2,3,755,0
10,2,3,471,0
10,2,4,0,0
10,2,1,676,0
10,2,4,0,0
10,2,3,444,0
10,2,1,479,0
10,2,3,434,0
10,2,2,530,0
10,2,3,481,0
10,2,1,493,0
10,2,3,602,0
10,2,1,463,0
10,2,3,539,0
10,2,1,608,0
10,2,1,534,0
10,2,3,543,0
10,2,1,481,0
10,2,4,0,0
10,2,3,538,0
10,2,1,503,0
10,2,1,541,0
10,2,4,0,0
10,2,1,588,0
10,2,4,0,0
10,2,2,575,0
10,2,2,653,0
10,2,3,510,0
10,2,1,564,0
10,2,4,0,0
10,2,4,0,0
10,2,2,587,0
10,2,4,0,0
10,2,4,0,0
10,2,1,646,0
10,2,2,526,0
10,2,1,487,0
10,2,2,485,0
10,2,3,512,0
10,2,1,479,0
10,2,2,599,0
10,2,4,0,0
10,2,4,0,0
10,2,2,580,0
10,2,3,400,1
10,2,2,510,0
10,2,3,637,0
10,2,2,488,0
10,2,1,522,0
10,2,2,467,0
10,2,4,0,0
10,2,3,478,0
10,2,2,522,0
10,2,1,549,0
10,2,1,625,0
10,2,1,712,0
10,2,4,0,0
10,2,4,0,0
10,2,3,567,0
10,2,3,478,0
10,2,1,454,0
10,2,1,397,0
10,2,1,433,0
10,2,2,508,0
10,2,4,0,0
10,2,3,577,0
10,2,4,0,0
10,2,3,479,0
10,2,1,496,0
10,2,4,0,0
10,2,4,0,0
10,2,3,543,0
10,2,1,469,0
10,2,2,520,0
10,2,4,0,0
10,2,3,1137,0
10,2,2,479,0
10,2,1,492,0
